 t [s],a_x_raw [m/s^2],a_y_raw [m/s^2],a_z_raw [m/s^2],a_x_filtered [m/s^2],a_y_filtered [m/s^2],a_z_filtered [m/s^2]
232.30,    1.47,   -4.70,   10.72,   -0.61,   -0.74,   -2.41
232.32,    2.96,   -4.75,   10.24,   -0.79,   -0.64,   -2.09
232.34,    3.25,   -5.62,    9.97,   -1.11,   -0.78,   -1.67
232.36,    3.36,   -5.35,    9.52,   -1.35,   -1.08,   -1.77
232.38,    3.44,   -4.60,    7.66,   -1.47,   -1.27,   -1.80
232.40,    4.63,   -3.54,    4.57,   -1.66,   -1.67,   -2.01
232.42,    5.07,   -3.28,    2.66,   -1.73,   -1.86,   -2.16
232.44,    4.78,   -3.19,    2.39,   -1.52,   -1.71,   -1.74
232.47,    5.62,   -3.61,    2.03,   -1.74,   -1.40,   -1.90
232.49,    6.34,   -3.50,    1.56,   -2.02,   -1.22,   -2.29
232.51,    6.18,   -3.61,    0.79,   -2.06,   -1.36,   -2.54
232.53,    5.72,   -2.28,   -0.31,   -1.98,   -1.67,   -2.15
232.55,    5.50,   -2.11,   -0.57,   -1.86,   -1.93,   -1.47
232.57,    5.53,   -3.45,   -0.74,   -2.36,   -2.06,   -1.50
232.59,    6.88,   -4.39,   -1.08,   -2.65,   -2.28,   -1.92
232.61,    6.91,   -4.05,   -1.60,   -2.74,   -2.46,   -2.55
232.63,    6.41,   -3.46,   -3.90,   -2.78,   -2.58,   -2.83
232.65,    6.37,   -3.13,   -4.68,   -2.54,   -2.55,   -2.42
232.68,    6.34,   -5.06,   -4.74,   -2.57,   -2.33,   -1.63
232.70,    5.40,   -5.00,   -5.40,   -2.62,   -2.09,   -1.27
232.72,    3.77,   -4.93,   -6.43,   -2.66,   -2.00,   -1.55
232.74,    3.69,   -3.86,   -5.66,   -2.80,   -2.13,   -2.01
232.76,    4.26,   -4.27,   -5.92,   -2.87,   -2.55,   -2.42
232.78,    0.99,   -1.22,   -7.90,   -2.94,   -2.93,   -2.11
232.80,    3.44,   -2.65,   -6.62,   -3.00,   -2.63,   -1.42
232.82,    1.78,   -1.89,   -9.02,   -2.63,   -2.35,   -1.06
232.84,    1.22,   -1.86,   -7.81,   -2.41,   -2.45,   -1.02
232.86,    0.65,   -2.45,   -9.00,   -2.36,   -2.62,   -1.33
232.88,    0.25,   -0.58,   -9.84,   -2.42,   -2.65,   -1.62
232.91,   -0.53,    1.19,  -10.33,   -2.61,   -2.49,   -1.61
232.93,   -0.47,    1.61,   -9.87,   -2.19,   -2.57,   -1.75
232.95,   -0.17,    2.72,   -9.11,   -1.98,   -2.59,   -2.09
232.97,   -1.50,    2.97,   -8.88,   -1.77,   -2.59,   -2.45
232.99,   -3.42,    4.33,   -9.06,   -1.48,   -2.71,   -2.76
233.01,   -3.17,    4.52,   -8.92,   -1.52,   -2.58,   -2.53
233.03,   -2.36,    3.84,   -9.00,   -1.62,   -2.24,   -2.08
233.05,   -2.09,    4.03,   -8.75,   -1.55,   -2.15,   -2.03
233.07,   -2.68,    4.84,   -7.85,   -1.29,   -2.00,   -2.13
233.09,   -2.90,    6.07,   -6.75,   -1.30,   -1.76,   -2.27
233.12,   -3.01,    6.71,   -6.43,   -0.59,   -2.04,   -2.57
233.14,   -3.71,    7.31,   -6.61,   -0.26,   -1.74,   -3.12
233.16,   -4.11,    7.71,   -5.19,   -0.61,   -1.09,   -4.11
233.18,   -3.12,    7.92,   -4.05,   -0.54,   -0.87,   -4.68
233.20,   -2.43,    8.45,   -3.32,   -0.35,   -0.51,   -4.79
233.22,   -2.18,    8.63,   -2.16,   -0.04,    0.06,   -5.33
233.24,   -6.46,   10.74,    0.42,    0.05,    0.51,   -5.17
233.26,   -5.11,   10.58,   -1.10,    0.67,    0.09,   -4.52
233.28,   -2.07,   10.68,   -2.33,    1.33,   -0.21,   -4.18
233.31,   -7.36,    9.69,   -1.23,    1.58,    0.24,   -3.70
233.33,   -9.00,   11.60,   -2.01,    1.66,    0.82,   -3.43
233.35,   -5.89,   10.56,    0.36,    1.93,    0.84,   -3.92
233.37,   -5.08,    8.00,    1.25,    2.20,   -0.12,   -4.49
233.39,   -4.29,    9.20,    1.61,    1.58,   -0.56,   -3.93
233.41,   -5.06,   10.42,    2.16,    2.14,   -0.82,   -3.15
233.43,   -5.65,   10.40,    2.36,    3.01,   -1.48,   -1.79
233.45,   -5.24,   10.35,    2.41,    2.96,   -1.66,   -0.49
233.47,   -4.36,    9.90,    1.47,    3.17,   -1.53,   -0.55
233.49,   -3.57,    9.28,    1.59,    3.30,   -1.50,    0.10
233.51,   -3.89,   10.16,    1.66,    3.85,   -1.72,    0.66
233.54,   -3.63,   10.64,    1.39,    4.73,   -1.73,    0.77
233.56,   -3.33,   10.29,    1.92,    5.51,   -1.68,    1.07
233.58,   -3.12,    9.69,    1.94,    6.35,   -1.71,    1.08
233.60,   -3.37,    9.05,    0.20,    6.96,   -2.01,    0.91
233.62,   -2.95,    9.06,   -1.39,    6.73,   -2.37,    0.59
233.64,   -3.01,   10.17,   -2.58,    6.61,   -2.18,    1.47
233.66,   -3.88,   10.51,   -2.75,    7.05,   -1.70,    2.84
233.68,   -4.71,   11.00,   -3.61,    6.95,   -1.19,    3.90
233.70,   -4.33,   10.42,   -4.25,    7.25,   -1.26,    4.89
233.72,   -3.90,   10.28,   -5.54,    7.45,   -1.18,    5.17
233.75,   -3.55,    9.53,   -5.88,    6.69,   -0.99,    5.07
233.77,   -2.84,    8.60,   -5.57,    6.55,   -0.45,    5.18
233.79,   -2.56,    9.08,   -6.43,    6.96,    0.10,    6.49
233.81,   -1.74,    8.02,   -7.56,    6.78,   -1.20,    8.31
233.83,   -0.83,    6.64,   -8.22,    6.97,   -1.79,    9.01
233.85,   -1.75,    6.28,   -7.60,    7.62,   -1.60,    9.24
233.87,    0.91,    4.52,   -7.80,    7.55,   -1.74,    9.36
233.89,    1.38,    4.03,   -7.23,    6.79,   -1.46,    8.95
233.91,    1.93,    2.96,   -8.03,    5.98,   -1.94,    9.55
233.94,    1.21,    2.57,   -9.18,    5.23,   -2.30,   10.95
233.96,    0.51,    1.89,   -9.28,    4.33,   -2.40,   11.34
233.98,    0.80,    1.70,   -9.32,    4.17,   -2.80,   11.52
234.00,    1.15,    0.81,   -9.75,    4.52,   -3.36,   11.28
234.02,    0.92,    0.85,   -9.69,    4.60,   -3.76,   11.27
234.04,    0.73,    0.64,  -10.04,    4.72,   -4.20,   11.70
234.06,    1.99,   -0.16,  -10.18,    4.37,   -4.66,   11.39
234.08,    2.45,   -0.77,   -9.62,    4.18,   -3.92,   11.76
234.10,    1.95,   -1.24,   -9.27,    4.67,   -3.67,   11.43
234.12,    1.56,   -2.64,   -9.57,    4.57,   -3.44,    9.69
234.15,    0.82,   -2.91,   -9.49,    4.27,   -2.72,    8.58
234.17,    1.41,   -1.58,   -9.55,    4.35,   -3.23,    8.17
234.19,    2.58,   -0.56,   -9.50,    4.41,   -3.47,    8.35
234.21,    2.08,   -2.35,   -6.79,    5.17,   -3.47,    8.29
234.23,    4.61,   -0.59,   -8.20,    5.44,   -2.99,    7.48
234.25,    3.79,   -1.40,   -8.68,    4.81,   -1.77,    6.11
234.27,    4.68,   -1.37,   -9.63,    4.79,   -1.51,    4.93
234.29,    4.71,   -2.35,   -8.95,    5.35,   -2.20,    4.73
234.31,    5.37,   -3.26,   -7.49,    5.96,   -2.22,    4.28
234.33,    5.05,   -3.18,   -5.18,    5.34,   -0.94,    3.31
234.35,    1.36,   -2.36,   -4.26,    4.93,   -0.27,    3.43
234.38,    5.81,   -1.90,   -2.03,    5.59,   -0.34,    4.17
234.40,    5.72,   -3.11,   -3.31,    6.93,   -0.69,    4.74
234.42,    6.13,   -3.89,   -2.69,    7.27,   -0.39,    4.89
234.44,    5.83,   -4.73,   -2.09,    4.86,    1.13,    3.87
234.46,    6.33,   -4.11,   -2.68,    5.57,    0.81,    3.36
234.48,    6.80,   -4.38,   -2.60,    8.46,    0.33,    3.24
234.50,    6.73,   -5.18,   -2.31,    8.10,    0.38,    1.97
234.52,    3.45,   -2.74,   -6.40,    6.20,   -0.65,    1.24
234.54,    5.07,   -5.17,   -0.34,    5.49,    0.01,    1.05
234.56,    6.17,   -4.71,    0.05,    6.55,    0.39,    0.38
234.59,    6.70,   -4.13,    0.77,    6.16,   -0.12,   -0.89
234.61,    7.64,   -4.71,    0.88,    4.43,    0.48,   -2.36
234.63,    7.31,   -4.58,    2.03,    2.34,    0.42,   -2.74
234.65,    9.35,   -5.57,    2.41,    0.70,    0.26,   -2.64
234.67,    8.35,   -6.36,    3.84,    1.62,   -0.12,   -3.45
234.69,    9.44,   -6.17,    2.68,    2.10,   -0.79,   -5.18
234.71,    8.47,   -5.83,    3.09,    0.83,   -0.58,   -6.07
234.73,    9.72,   -4.49,    3.54,   -0.73,   -0.23,   -5.42
234.75,    9.70,   -4.77,    4.58,   -2.19,    0.65,   -3.96
234.78,    9.17,   -4.91,    4.99,   -3.17,    1.97,   -3.37
234.80,    9.26,   -5.00,    4.23,   -3.13,    2.30,   -4.56
234.82,   10.13,   -4.73,    3.70,   -3.10,    2.03,   -5.43
234.84,    9.89,   -4.91,    3.93,   -3.56,    2.50,   -5.34
234.86,    9.23,   -4.54,    3.81,   -3.78,    3.05,   -4.77
234.88,    7.95,   -5.07,    3.83,   -4.52,    2.77,   -4.59
234.90,    7.40,   -5.05,    3.05,   -5.00,    2.57,   -5.28
234.92,    7.06,   -5.15,    3.24,   -5.08,    3.02,   -5.77
234.94,    7.80,   -5.61,    4.08,   -5.85,    3.98,   -5.50
234.96,    7.41,   -5.61,    2.05,   -6.98,    4.40,   -4.69
234.99,    8.08,   -5.56,    2.45,   -8.24,    4.27,   -4.45
235.01,    7.42,   -6.27,    2.73,   -9.33,    3.97,   -4.67
235.03,    7.86,   -5.85,    1.45,   -9.12,    3.59,   -5.05
235.05,    7.33,   -5.38,    0.20,   -8.15,    4.08,   -5.19
235.07,    6.64,   -4.70,   -0.81,   -8.40,    4.36,   -4.96
235.09,    6.68,   -4.46,   -1.88,   -9.15,    4.27,   -4.90
235.11,    6.29,   -4.83,   -2.45,   -9.64,    4.71,   -5.14
235.13,    6.02,   -5.42,   -3.90,  -10.01,    4.80,   -6.43
235.15,    5.02,   -5.55,   -7.66,  -10.19,    4.41,   -7.65
235.17,    5.05,   -4.24,   -8.19,  -10.25,    4.29,   -8.08
235.19,    4.44,   -4.57,   -7.93,   -9.93,    4.53,   -8.07
235.22,    3.83,   -4.44,   -7.63,   -9.32,    4.21,   -8.21
235.24,    4.03,   -4.20,   -7.70,   -8.83,    3.35,   -8.62
235.26,    4.46,   -4.07,   -7.60,   -8.52,    2.26,   -8.96
235.28,    4.16,   -3.66,   -7.15,   -7.90,    1.37,   -9.17
235.30,    3.94,   -4.84,   -6.16,   -7.68,    1.37,   -8.60
235.32,    3.74,   -4.56,   -6.13,   -7.42,    1.84,   -8.07
235.34,    3.48,   -4.12,   -7.07,   -6.81,    2.49,   -6.94
235.36,    3.11,   -3.16,   -8.48,   -6.11,    2.28,   -6.35
235.38,    3.79,   -3.26,   -8.48,   -4.66,    1.54,   -6.61
235.41,    4.31,   -3.44,   -7.54,   -3.57,    1.10,   -6.33
235.43,    4.30,   -3.30,   -8.45,   -3.09,    0.40,   -6.49
235.45,    3.79,   -1.37,   -8.01,   -2.88,    0.23,   -5.60
235.47,    4.88,    0.14,   -8.44,   -1.48,    0.38,   -4.87
235.49,    3.86,   -1.01,   -9.02,    0.07,    0.21,   -4.94
235.51,    3.16,   -3.17,   -8.20,    0.30,   -0.16,   -5.13
235.53,    5.72,   -3.11,   -9.22,    0.76,   -0.52,   -5.47
235.55,    4.67,   -3.13,   -8.92,    0.50,    0.11,   -4.65
235.57,    4.62,   -2.48,   -9.23,    1.46,    0.44,   -4.07
235.59,    5.31,   -2.49,  -10.78,    3.03,   -0.72,   -3.87
235.62,    6.99,   -2.75,  -12.56,    3.08,   -1.25,   -3.68
235.64,    7.41,   -4.79,  -11.06,    3.60,   -1.01,   -3.23
235.66,    6.99,   -4.56,   -9.77,    3.26,   -0.94,   -2.48
235.68,    6.72,   -4.93,   -9.94,    3.87,   -1.48,   -1.45
235.70,    7.54,   -5.24,   -8.69,    5.39,   -2.15,   -0.61
235.72,    7.66,   -5.94,   -6.40,    4.60,   -1.79,   -0.74
235.74,    6.53,   -5.62,   -5.00,    4.56,   -2.22,    0.48
235.76,    6.38,   -4.93,   -3.50,    5.25,   -2.43,    2.31
235.78,    6.13,   -5.12,   -2.15,    4.89,   -1.61,    3.61
235.81,    6.58,   -5.13,   -1.56,    5.15,   -2.45,    5.33
235.83,    7.04,   -4.98,   -0.01,    5.65,   -3.15,    6.40
235.85,    7.23,   -5.58,    2.11,    6.04,   -2.88,    6.78
235.87,    6.69,   -4.61,    1.66,    5.83,   -3.01,    7.54
235.89,    6.10,   -4.66,    0.24,    4.82,   -2.66,    8.05
235.91,    6.45,   -4.65,    0.72,    4.42,   -2.39,    8.28
235.93,    8.29,   -4.43,    2.58,    4.03,   -2.51,    9.08
235.95,    6.87,   -4.74,    4.55,    3.48,   -1.78,   10.23
235.97,    6.20,   -4.74,    5.54,    3.48,   -2.45,   11.46
235.99,    6.62,   -4.57,    4.94,    3.73,   -3.25,   11.63
236.01,    8.24,   -5.01,    5.35,    2.99,   -1.95,   11.77
236.04,    6.20,   -5.14,    4.86,    1.50,   -2.12,   11.75
236.06,    5.63,   -5.18,    5.94,    0.66,   -2.07,   11.33
236.08,    5.57,   -5.29,    5.95,   -0.51,   -1.32,   11.38
236.10,    5.24,   -4.82,    6.03,   -1.34,   -1.32,   11.37
236.12,    4.94,   -5.07,    6.20,   -1.52,   -1.24,   12.35
236.14,    5.01,   -5.13,    7.86,   -1.45,   -1.54,   12.93
236.16,    3.49,   -5.78,    8.07,   -0.88,   -1.00,   12.51
236.18,    3.43,   -6.30,    8.91,   -0.77,   -0.99,   11.15
236.20,    3.54,   -5.60,    8.71,   -0.14,   -0.57,   10.53
236.22,    3.96,   -4.12,    8.27,    1.24,   -0.19,   10.58
236.25,    4.76,   -6.32,    9.34,    2.78,   -0.31,   10.10
236.27,    0.92,   -4.92,    8.42,    3.47,    0.11,    9.55
236.29,    2.79,   -3.86,    9.45,    3.53,   -0.65,    6.97
236.31,    3.73,   -1.37,   10.21,    5.18,    0.23,    7.41
236.33,    1.30,   -8.45,    2.53,    6.62,   -0.22,    7.15
236.35,    1.32,   -2.27,    7.00,    6.51,   -1.63,    3.88
236.37,    2.78,   -2.61,    9.07,    6.59,   -0.69,    4.03
236.39,    0.41,   -1.23,    4.56,    6.94,   -0.45,    3.05
236.41,   -0.76,   -2.25,    5.39,    6.58,   -0.12,    2.32
236.44,    0.13,   -2.45,    7.88,    6.48,   -1.09,    1.57
236.46,    0.39,   -1.96,    7.64,    7.32,   -1.45,   -1.43
236.48,    0.20,   -2.08,    7.81,    6.27,   -0.12,   -3.10
236.50,   -0.00,   -2.05,    8.50,    3.65,    0.34,   -3.37
236.52,    0.38,   -1.68,    9.33,    2.95,    0.52,   -3.24
236.54,   -0.34,   -1.45,    9.34,    3.86,   -0.25,   -4.24
236.56,   -0.77,   -1.61,    9.45,    4.10,   -0.83,   -5.94
236.58,   -1.73,   -1.48,    8.95,    2.27,   -0.44,   -7.14
236.60,   -1.00,   -1.72,    9.81,   -0.39,    0.16,   -6.86
236.62,   -0.80,   -0.85,    9.99,   -1.77,    0.07,   -6.45
236.65,   -1.41,   -0.46,    9.62,   -2.33,    0.08,   -5.83
236.67,   -2.56,   -0.22,    9.72,   -2.78,    0.60,   -5.11
236.69,   -2.69,   -0.07,    9.62,   -3.69,    0.41,   -5.59
236.71,   -2.49,    0.58,    9.25,   -5.11,    0.62,   -5.41
236.73,   -3.58,   -0.18,    8.58,   -6.08,    1.10,   -5.20
236.75,   -4.34,   -0.06,    8.33,   -6.76,    1.39,   -4.31
236.77,   -4.37,    0.63,    8.87,   -7.61,    1.57,   -4.04
236.79,   -5.57,    1.00,    7.92,   -8.96,    1.99,   -5.32
236.81,   -5.10,    0.59,    9.58,   -9.78,    2.14,   -5.83
236.83,   -5.31,    0.49,   10.03,   -9.91,    1.50,   -5.90
236.85,   -5.84,    1.02,    8.85,  -10.45,    1.51,   -6.17
236.88,   -6.54,    3.04,    8.38,  -10.25,    2.22,   -6.29
236.90,   -7.27,    3.95,    7.31,  -10.31,    2.99,   -5.85
236.92,   -7.70,    3.15,    7.53,  -11.28,    3.52,   -6.71
236.94,   -7.69,    2.02,    8.76,  -11.71,    3.60,   -8.00
236.96,   -8.16,    1.35,    8.49,  -11.98,    3.06,   -8.65
236.98,   -8.15,    1.03,    7.88,  -11.22,    2.90,   -9.37
237.00,   -8.48,    1.38,    6.34,  -10.39,    3.52,   -9.73
237.02,   -7.68,    2.45,    6.74,  -10.18,    4.08,  -10.06
237.04,   -7.49,    3.04,    6.08,   -9.18,    4.27,  -10.10
237.06,   -7.38,    3.43,    5.96,   -8.78,    4.02,  -10.17
237.09,   -7.86,    4.03,    6.11,   -9.03,    3.35,  -10.06
237.11,   -8.63,    4.44,    5.65,   -8.86,    2.36,   -9.52
237.13,   -8.60,    3.97,    6.43,   -7.90,    2.64,   -8.79
237.15,   -8.30,    3.93,    7.07,   -6.58,    3.06,   -8.44
237.17,   -7.67,    3.63,    7.90,   -5.83,    2.56,   -8.08
237.19,   -7.63,    3.89,    8.70,   -5.36,    2.20,   -7.37
237.21,   -8.43,    3.38,    8.31,   -4.64,    1.41,   -7.15
237.23,   -8.66,    3.38,    8.17,   -3.09,    0.91,   -6.90
237.25,   -8.49,    3.32,    8.23,   -2.23,    0.42,   -6.76
237.28,   -7.96,    3.28,    8.76,   -2.14,    0.32,   -6.94
237.30,   -7.59,    3.56,    9.24,   -0.67,    0.46,   -6.49
237.32,   -6.73,    2.13,    8.46,    1.24,   -0.41,   -4.55
237.34,   -7.82,    2.82,   10.18,    3.03,   -0.71,   -3.07
237.36,   -7.91,    3.06,    9.79,    4.43,   -0.59,   -3.14
237.38,   -6.74,    3.02,    9.76,    4.12,   -1.27,   -3.65
237.40,   -5.84,    3.25,    9.50,    4.30,   -2.52,   -3.52
237.42,   -5.09,    3.14,    8.98,    5.90,   -3.18,   -2.14
237.44,   -4.95,    2.95,    8.74,    6.13,   -3.45,   -1.83
237.46,   -3.73,    2.50,    8.42,    6.19,   -3.50,   -1.45
237.49,   -3.11,    2.20,    8.58,    7.13,   -3.40,   -0.02
237.51,   -2.77,    1.77,    8.51,    6.66,   -4.49,    0.44
237.53,   -2.52,    1.71,    9.21,    5.26,   -4.58,    0.35
237.55,   -2.43,    1.31,    9.89,    4.59,   -3.54,    2.23
237.57,   -1.96,    0.90,   10.24,    4.79,   -3.13,    4.57
237.59,   -1.90,    0.74,   10.25,    5.00,   -2.97,    4.92
237.61,   -2.31,    0.88,   10.21,    4.26,   -3.38,    6.26
237.63,   -2.03,    0.90,   10.23,    3.38,   -2.51,    7.22
237.65,   -1.51,    1.21,   10.58,    3.49,   -2.08,    7.46
237.67,   -1.81,    1.49,   10.43,    2.73,   -2.75,    8.11
237.69,   -1.95,    1.19,   10.01,    1.78,   -1.64,    8.28
237.72,   -2.24,    0.86,    9.57,    1.21,   -1.61,    8.46
237.74,   -2.46,    0.62,    9.42,    0.37,   -1.03,    7.72
237.76,   -2.52,    0.30,    9.02,    0.86,    0.49,    7.92
237.78,   -2.82,   -0.18,    8.89,   -0.04,    0.04,    9.14
237.80,   -2.56,   -0.25,    9.39,   -1.06,   -0.39,    9.99
237.82,   -2.52,   -0.43,    9.88,   -0.94,   -0.85,   10.87
237.84,   -2.16,   -0.22,   10.00,   -1.44,   -0.49,   12.00
237.86,   -1.72,   -0.47,   10.18,   -1.51,   -0.36,   11.88
237.88,   -1.77,   -0.92,    9.84,   -2.66,   -0.67,   11.51
237.91,   -1.48,   -1.27,    9.92,   -2.80,   -0.44,   12.19
237.93,   -1.51,   -1.72,    9.53,   -2.02,   -1.04,   11.67
237.95,   -1.10,   -1.93,    9.38,   -2.39,   -1.35,   12.29
237.97,   -0.61,   -1.90,    9.19,   -3.31,   -2.36,   13.14
237.99,    0.30,   -2.16,    9.22,   -4.07,   -2.61,   14.74
238.01,    0.93,   -2.44,    9.16,   -3.75,   -1.91,   17.60
238.03,    1.72,   -2.30,    9.26,   -4.26,   -2.71,   18.36
238.05,    2.36,   -2.47,    9.05,   -4.26,   -3.36,   18.58
238.07,    2.60,   -2.79,    8.57,   -3.67,   -3.08,   17.44
238.09,    3.03,   -2.68,    8.48,   -3.67,   -2.56,   15.84
238.12,    3.08,   -2.86,    7.75,   -2.84,   -2.97,   14.67
238.14,    3.42,   -2.87,    7.49,   -1.35,   -3.38,   13.53
238.16,    3.29,   -2.75,    7.44,   -0.76,   -4.00,   12.30
238.18,    2.93,   -3.92,    6.78,   -0.45,   -4.60,   11.99
238.20,   -1.01,    0.12,   10.42,    1.20,   -4.32,   12.81
238.22,    3.55,   -3.69,    9.16,    1.99,   -4.96,   11.99
238.24,    6.43,   -5.46,    6.27,    2.16,   -5.39,   11.87
238.26,    6.98,   -5.63,    4.69,    2.14,   -4.76,   10.89
238.28,    7.16,   -4.46,    4.00,    2.73,   -3.79,    8.03
238.30,    7.10,   -3.35,    3.85,    3.92,   -3.09,    5.47
238.32,    7.47,   -2.88,    4.35,    3.60,   -2.94,    4.27
238.35,    7.54,   -4.71,    2.37,    3.93,   -3.18,    4.39
238.37,    5.70,   -3.78,    4.07,    4.85,   -3.32,    3.63
238.39,    6.61,   -6.14,    3.79,    5.18,   -3.39,    3.31
238.41,    6.31,   -4.79,    2.73,    4.70,   -2.84,    2.08
238.43,    7.32,   -5.35,   -1.03,    4.40,   -1.62,    1.38
238.45,    6.40,   -5.10,    1.68,    4.20,   -2.51,    1.39
238.47,    6.60,   -4.22,    0.47,    4.86,   -3.81,    0.85
238.49,    6.74,   -4.55,   -0.20,    6.03,   -4.09,    0.89
238.51,    7.11,   -4.37,   -1.46,    5.23,   -3.56,   -0.95
238.53,    7.65,   -4.10,   -2.68,    5.26,   -2.79,   -2.54
238.56,    6.89,   -3.58,   -4.15,    5.06,   -3.83,   -2.93
238.58,    6.29,   -2.52,   -3.57,    4.84,   -4.98,   -2.98
238.60,    4.68,   -3.06,   -3.68,    3.34,   -4.82,   -4.25
238.62,    5.19,   -2.46,   -4.63,    2.01,   -3.97,   -4.40
238.64,    5.01,   -0.93,   -6.40,    3.37,   -4.10,   -3.46
238.66,    1.62,    0.54,   -8.63,    1.00,   -2.45,   -5.50
238.68,    0.81,    1.07,   -9.74,    0.73,   -1.29,   -5.31
238.70,    1.12,    1.11,  -10.01,    1.86,   -2.47,   -5.94
238.72,    1.74,    1.07,  -10.69,   -0.12,   -1.26,   -6.99
238.75,    1.73,    0.94,   -9.78,   -0.24,   -2.06,   -6.19
238.77,   -0.18,    1.29,  -10.14,   -0.80,   -1.65,   -7.92
238.79,   -1.72,    2.39,  -10.75,   -1.50,    1.00,   -8.38
238.81,   -1.30,    1.94,  -10.24,   -1.84,    1.42,   -8.44
238.83,   -0.42,    1.45,  -10.14,   -1.62,    2.63,   -7.86
238.85,   -0.87,    2.02,   -9.96,   -1.77,    2.97,   -7.05
238.87,   -0.14,    2.33,   -8.42,   -4.02,    3.92,   -7.49
238.89,    0.29,    0.22,   -9.63,   -4.80,    4.94,   -7.15
238.91,   -1.27,    0.94,   -9.81,   -4.05,    4.36,   -7.44
238.93,   -1.40,    3.26,  -10.80,   -3.46,    4.17,   -7.20
238.96,   -3.41,    2.89,  -10.13,   -3.63,    4.54,   -6.81
238.98,   -1.15,    2.03,   -9.90,   -4.26,    5.87,   -5.64
239.00,   -0.38,    1.10,   -9.03,   -4.20,    6.62,   -4.78
239.02,   -0.87,    1.83,  -10.67,   -4.65,    7.38,   -5.14
239.04,   -0.17,    0.71,   -9.93,   -5.45,    7.79,   -4.35
239.06,   -0.43,    1.00,   -9.02,   -4.97,    8.09,   -3.10
239.08,   -0.52,    1.68,   -8.49,   -4.23,    8.56,   -1.95
239.10,   -1.10,    2.89,   -7.81,   -3.18,    8.62,   -1.59
239.12,   -1.24,    3.67,   -8.16,   -5.54,   10.07,    0.90
239.14,   -1.46,    3.92,   -7.60,   -8.31,   11.09,    1.66
239.16,   -2.23,    4.79,   -8.94,   -4.10,   11.07,   -0.77
239.19,   -1.98,    5.77,   -9.23,   -5.48,   10.30,   -0.11
239.21,   -2.73,    4.81,   -8.55,  -10.79,   10.84,   -0.29
239.23,   -0.56,    2.00,   -7.29,   -8.66,   11.99,    0.35
239.25,   -2.09,    1.55,   -7.71,   -6.78,    9.35,    2.58
239.27,   -2.17,    2.14,   -9.82,   -6.03,    8.48,    2.72
239.29,   -4.74,    4.05,  -13.70,   -5.89,   10.48,    3.32
239.31,   -5.29,    5.43,  -12.31,   -6.97,   10.71,    3.65
239.33,   -3.35,    4.21,   -9.70,   -6.90,   10.78,    3.81
239.35,   -2.50,    3.04,   -8.92,   -6.34,   10.56,    3.36
239.38,   -2.91,    3.16,   -9.50,   -5.24,    9.82,    2.63
239.40,   -3.78,    4.01,   -9.58,   -5.16,    9.98,    3.11
239.42,   -4.32,    3.82,  -11.47,   -5.28,   10.88,    2.71
239.44,   -3.61,    2.79,   -9.85,   -4.91,   10.94,    2.85
239.46,   -1.57,    2.20,   -7.37,   -4.65,   10.32,    3.42
239.48,   -3.93,    1.28,   -9.85,   -4.70,    9.81,    2.39
239.50,   -1.38,    2.24,   -7.53,   -4.73,    9.20,    0.61
239.52,   -2.45,    2.90,   -7.52,   -4.29,   10.05,   -0.94
239.54,   -3.21,    3.38,   -2.45,   -4.89,   10.78,   -1.45
239.56,   -1.43,    0.44,   -6.59,   -5.87,   11.17,   -1.99
239.59,   -3.19,    1.91,  -10.35,   -6.16,   11.26,   -2.75
239.61,   -3.22,    3.44,   -7.82,   -5.53,   10.60,   -3.73
239.63,   -1.88,    2.33,   -9.12,   -5.29,   10.58,   -4.80
239.65,   -1.55,    3.35,   -9.10,   -4.71,    9.25,   -4.56
239.67,   -3.15,    4.50,   -7.82,   -4.12,    9.27,   -4.77
239.69,   -3.25,    5.14,   -7.61,   -3.91,    9.29,   -5.97
239.71,   -3.64,    4.61,   -8.14,   -2.45,    7.51,   -6.99
239.73,   -5.04,    5.31,   -7.88,   -3.05,    7.09,   -6.93
239.75,   -5.52,    5.02,   -7.67,   -2.18,    5.81,   -6.62
239.77,   -6.41,    4.54,   -7.56,   -0.00,    4.69,   -6.62
239.79,   -5.83,    4.82,   -8.93,   -0.04,    3.98,   -6.39
239.82,   -6.34,    3.66,  -11.21,    0.30,    3.20,   -7.80
239.84,   -5.12,    4.03,  -10.18,   -0.87,    2.71,   -8.43
239.86,   -5.01,    4.04,   -7.97,   -1.00,    2.27,   -8.25
239.88,   -4.65,    4.53,   -6.99,   -0.46,    1.82,   -8.78
239.90,   -5.70,    4.64,   -7.26,   -0.58,    1.14,   -8.76
239.92,   -7.01,    5.32,   -7.60,   -0.70,    1.44,   -9.08
239.94,   -1.52,    1.62,   -6.07,   -0.52,    0.71,   -9.26
239.96,   -1.66,    3.33,   -8.08,    1.08,    0.03,   -9.26
239.98,   -2.67,    4.10,   -7.57,    0.43,   -0.41,   -8.48
240.00,   -4.28,    4.34,   -8.39,    0.33,   -1.38,   -8.68
240.03,   -4.95,    3.70,   -8.46,   -0.44,   -2.42,   -8.88
240.05,   -5.22,    3.61,   -8.38,   -0.82,   -1.99,   -8.59
240.07,   -5.55,    3.31,   -8.55,    0.84,    0.03,   -9.28
240.09,   -5.43,    2.70,   -9.19,    0.30,   -1.16,   -7.25
240.11,   -4.99,    2.46,   -9.56,    1.97,   -1.00,   -6.51
